state,d_2020_total,r_2020_total
AL,"849,624","1,441,170"
AK,"153,778","189,951"
AZ,"1,672,143","1,661,686"
AR,"423,932","760,647"
CA,"11,110,639","6,006,518"
CO,"1,804,352","1,364,607"
CT,"1,080,831","714,717"
DE,"296,268","200,603"
DC,"317,323","18,586"
FL,"5,297,045","5,668,731"
GA,"2,473,633","2,461,854"
HI,"366,130","196,864"
ID,"287,021","554,119"
IL,"3,471,915","2,446,891"
IN,"1,242,498","1,729,857"
IA,"759,061","897,672"
KS,"570,323","771,406"
KY,"772,474","1,326,646"
LA,"856,034","1,255,776"
ME,"435,072","360,737"
MD,"1,985,023","976,414"
MA,"2,382,202","1,167,202"
MI,"2,804,040","2,649,852"
MN,"1,717,077","1,484,065"
MS,"539,398","756,764"
MO,"1,253,014","1,718,736"
MT,"244,786","343,602"
NE,"374,583","556,846"
NV,"703,486","669,890"
NH,"424,937","365,660"
NJ,"2,608,400","1,883,313"
NM,"501,614","401,894"
NY,"5,244,886","3,251,997"
NC,"2,684,292","2,758,775"
ND,"115,042","235,751"
OH,"2,679,165","3,154,834"
OK,"503,890","1,020,280"
OR,"1,340,383","958,448"
PA,"3,458,229","3,377,674"
RI,"307,486","199,922"
SC,"1,091,541","1,385,103"
SD,"150,471","261,043"
TN,"1,143,711","1,852,475"
TX,"5,259,126","5,890,347"
UT,"560,282","865,140"
VT,"242,820","112,704"
VA,"2,413,568","1,962,430"
WA,"2,369,612","1,584,651"
WV,"235,984","545,382"
WI,"1,630,866","1,610,184"
WY,"73,491","193,559"